time ,power
198420,5797.7573
198450,5801.1104
198480,5808.9692
198510,5807.50875
198540,5806.0483
198570,5803.293
198600,5813.873
198630,5810.94505
198660,5808.0171
198690,5797.9209
198720,5774.7256
198750,5778.1948
198780,5785.7041
198810,5778.8657
198840,5781.2012
198870,5780.6855
198900,5778.4932
198930,5777.314
198960,5782.7485
198990,5780.8916
199020,5779.0347
199050,5782.6157
199080,5779.5337
199110,5779.3794
199140,5774.3799
199170,5780.8213
199200,5786.5273
199230,5809.4863
199260,5800.936
199290,5789.1074
199320,5806.6987
199350,5811.4268
199380,5806.0547
199410,5799.9507
199440,5775.1074
199470,5771.313
199500,5768.3999
199530,5773.9277
199560,5774.5156
199590,5746.9502
199620,5742.4419
199650,5740.2856
199680,5778.2832
199710,5798.4019
199740,5784.2587
199770,5770.1155
199800,5755.9723
199830,5741.8291
199860,5740.7695
199890,5735.6172
199920,5738.6455
199950,5745.249
199980,5744.2607
200010,5736.6387
200040,5739.5601
200070,5744.1494
200100,5746.1401
200130,5745.7378
200160,5735.9136
200190,5742.665
200220,5741.187
200250,5750.3423
200280,5753.8809
200310,5757.3091
200340,5754.3379
200370,5754.9065
200400,5755.4751
200430,5754.4463
200460,5755.5347
200490,5762.2852
200520,5763.9771
200550,5791.0439
200580,5793.7046
200610,5794.2935
200640,5798.9512
200670,5797.689
200700,5796.2002
200730,5807.7598
200760,5831.8745
200790,5831.6333
200820,5836.8613
200850,5836.9995
200880,5833.2554
200910,5829.0967
200940,5811.2412
200970,5819.4131
201000,5830.875
201030,5831.4131
201060,5830.9492
201090,5831.1245
201120,5829.5142
201150,5814.479
201180,5813.0737
201210,5820.9824
201240,5819.0371
201270,5813.1201
201300,5810.7075
201330,5820.2334
201360,5840.4722
201390,5844.5288
201420,5848.0713
201450,5840.478
201480,5827.5601
201510,5844.5786
201540,5849.9595
201570,5850.1064
201600,5851.1567
201630,5848.4873
201660,5852.2583
201690,5838.54
201720,5850.3477
201750,5861.0933
201780,5863.5864
201810,5858.2798
201840,5847.7246
201870,5848.2368
201900,5977.25
201930,5965.2432
201960,5951.249
201990,5944.7568
202020,5952.626
202050,5949.437
202080,5955.5449
202110,5936.9883
202140,5928.541
202170,5926.2512
202200,5923.9614
202230,5922.2051
202260,5920.97045
202290,5919.7358
202320,5923.5576
202350,5937.5386
202380,5937.1147
202410,5945.9453
202440,5947.7275
202470,5950.5718
202500,5943.0479
202530,5949.6221
202560,5952.188
202590,5958.4844
202620,5961.0649
202650,5955.1455
202680,5946.2617
202710,5933.5776
202740,5930.3062
202770,5932.2153
202800,5917.3447
202830,5912.9854
202860,5905.8662
202890,5899.0698
202920,5896.2134
202950,5895.022
202980,5903.7441
203010,5906.2778
203040,5907.375
203070,5909.8535
203100,5912.9966
203130,5912.7856
203160,5932.4287
203190,5957.5625
203220,5959.2437
203250,5953.1997
203280,5944.8428
203310,5939.0742
203340,5956.1538
203370,5932.7949
203400,5916.9136
203430,5906.3379
